band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B00066724327,B00066724327,,E,9/5/2019,5,9,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,0,2,4,P8988788,,10,23,14,3,0.25,R,Anas platyrhynchos
B00066724327,B00066724327,,B,9/5/2019,5,9,2019,US,US-WI,43.5,-88.5,60,98,Mallard,1320,3,0,2,4,P8988788,X,,,,,,B,Anas platyrhynchos
B00066724332,B00066724332,,B,9/5/2019,5,9,2019,US,US-WI,43.5,-88.5,60,98,Mallard,1320,3,0,2,4,P8988788,X,,,,,,B,Anas platyrhynchos
B00066724332,B00066724332,,E,9/5/2019,5,9,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,0,2,4,P8988788,,10,23,14,3,0.25,R,Anas platyrhynchos
B00066724402,B00066724402,,B,8/22/2019,22,8,2019,US,US-WI,43.5,-88.5,60,98,Mallard,1320,3,0,1,5,P8988788,X,,,,,,B,Anas platyrhynchos
B00066724402,B00066724402,,E,8/22/2019,22,8,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,0,1,5,P8988788,,10,23,14,3,1.17,R,Anas platyrhynchos
B00066724414,B00066724414,,B,8/22/2019,22,8,2019,US,US-WI,43.5,-88.5,60,98,Mallard,1320,3,0,2,4,P8988788,X,,,,,,B,Anas platyrhynchos
B00066724414,B00066724414,,E,8/22/2019,22,8,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,0,2,4,P8988788,,10,23,14,3,0.17,R,Anas platyrhynchos
B00066724490,B00066724490,,B,8/22/2019,22,8,2019,US,US-WI,43.5,-88.5,60,98,Mallard,1320,3,0,1,5,P8988788,X,,,,,,B,Anas platyrhynchos
B00066724490,B00066724490,,E,8/22/2019,22,8,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,0,1,5,P8988788,,10,23,14,3,1.17,R,Anas platyrhynchos
