band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B00066724327,B00066724327,"",B,09/05/2019,05,09,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,2,4,P8988788,X,"","","","",,B,10352528,Anas platyrhynchos
B00066724327,B00066724327,"",E,09/05/2019,05,09,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,2,4,P8988788,"",10,23,14,03,0.25,R,12089226,Anas platyrhynchos
B00066724332,B00066724332,"",B,09/05/2019,05,09,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,2,4,P8988788,X,"","","","",,B,10352526,Anas platyrhynchos
B00066724332,B00066724332,"",E,09/05/2019,05,09,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,2,4,P8988788,"",10,23,14,03,0.25,R,12089224,Anas platyrhynchos
B00066724402,B00066724402,"",B,08/22/2019,22,08,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,1,5,P8988788,X,"","","","",,B,10352512,Anas platyrhynchos
B00066724402,B00066724402,"",E,08/22/2019,22,08,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,1,5,P8988788,"",10,23,14,03,1.17,R,12089210,Anas platyrhynchos
B00066724414,B00066724414,"",B,08/22/2019,22,08,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,2,4,P8988788,X,"","","","",,B,10352510,Anas platyrhynchos
B00066724414,B00066724414,"",E,08/22/2019,22,08,2019,US,US-WI,43.57444,-88.62722,0,98,Mallard,1320,3,00,2,4,P8988788,"",10,23,14,03,0.17,R,12089208,Anas platyrhynchos
B00066724484,B00066724484,"",B,08/22/2019,22,08,2019,US,US-WI,43.50000,-88.50000,60,98,Wood Duck,1440,3,00,1,4,P8988788,X,"","","","",,B,10352516,Aix sponsa
B00066724484,B00066724484,"",E,08/22/2019,22,08,2019,US,US-WI,43.57444,-88.62722,0,98,Wood Duck,1440,3,00,1,4,P8988788,"",10,23,14,03,1.17,R,12089214,Aix sponsa
B00066724490,B00066724490,"",B,08/22/2019,22,08,2019,US,US-WI,43.50000,-88.50000,60,98,Mallard,1320,3,00,1,5,P8988788,X,"","","","",,B,10352514,Anas platyrhynchos
