fws_id,species,as,state,county,collection_date,as_name,age,sex
M480377,MALL,8,Wisconsin,Buffalo,10/3/2021,immature male,hy,male
M480379,MALL,8,Wisconsin,Buffalo,11/1/2021,immature male,hy,male
M480380,MALL,8,Wisconsin,Buffalo,10/16/2021,immature male,hy,male
M480382,MALL,7,Wisconsin,Buffalo,11/1/2021,adult male,ahy,male
M480388,MALL,4,Wisconsin,Buffalo,11/1/2021,adult female,ahy,female
M480390,MALL,5,Wisconsin,Buffalo,11/5/2021,immature female,hy,female
M497008,MALL,8,Wisconsin,Brown,10/16/2021,immature male,hy,male
M497009,MALL,8,Wisconsin,Brown,10/16/2021,immature male,hy,male
M497010,MALL,8,Wisconsin,Brown,11/18/2021,immature male,hy,male
M497015,MALL,7,Wisconsin,Brown,11/17/2021,adult male,ahy,male
M497016,MALL,5,Wisconsin,Brown,11/13/2021,immature female,hy,female
M497017,MALL,5,Wisconsin,Brown,11/17/2021,immature female,hy,female
M511589,MALL,5,Wisconsin,La Crosse,11/6/2021,immature female,hy,female
M511590,MALL,7,Wisconsin,La Crosse,11/6/2021,adult male,ahy,male
M511593,MALL,5,Wisconsin,La Crosse,11/6/2021,immature female,hy,female
M511600,MALL,2,Wisconsin,Brown,10/3/2021,immature unknown,hy,unknown
M511645,MALL,5,Wisconsin,Brown,10/2/2021,immature female,hy,female
M511691,MALL,8,Wisconsin,Outagamie,10/24/2021,immature male,hy,male
M511733,MALL,7,Wisconsin,Buffalo,10/16/2021,adult male,ahy,male
M516189,MALL,4,Wisconsin,Green Lake,10/2/2021,adult female,ahy,female
M516191,MALL,5,Wisconsin,Green Lake,10/2/2021,immature female,hy,female
M516194,MALL,4,Wisconsin,Green Lake,10/3/2021,adult female,ahy,female
M516196,MALL,5,Wisconsin,Green Lake,10/9/2021,immature female,hy,female
M516422,MALL,8,Wisconsin,Outagamie,9/25/2021,immature male,hy,male
M516425,MALL,8,Wisconsin,Outagamie,9/25/2021,immature male,hy,male
M516426,MALL,8,Wisconsin,Outagamie,9/26/2021,immature male,hy,male
M516427,MALL,5,Wisconsin,Outagamie,9/26/2021,immature female,hy,female
M518439,MALL,5,Minnesota,Nicollet,9/26/2021,immature,hy,female
