dataset,species,guild,d2H,long,lat
kusack,ABDU,Dabblers,-101.8,-64.75,45.73
kusack,ABDU,Dabblers,-99.7,-64.75,45.73
kusack,ABDU,Dabblers,-99.5,-64.75,45.73
kusack,ABDU,Dabblers,-107.5,-64.37,45.7
kusack,ABDU,Dabblers,-134.2,-71.96,48.73
kusack,ABDU,Dabblers,-118,-76.86,48.78
kusack,ABDU,Dabblers,-114.9,-76.86,48.78
kusack,ABDU,Dabblers,-134.8,-76.86,48.78
kusack,ABDU,Dabblers,-123.3,-76.88,48.78
kusack,ABDU,Dabblers,-112.6,-76.88,48.78
kusack,ABDU,Dabblers,-116.4,-76.9,48.77
kusack,ABDU,Dabblers,-94.7,-82.83,49.56
kusack,ABDU,Dabblers,-103.9,-82.83,49.56
kusack,BWTE,Dabblers,-111.7,-77.02709,45.73422
kusack,BWTE,Dabblers,-109.1,-77.02709,45.73422
kusack,MALL,Dabblers,-124.9347759,-77.03268,45.7342
kusack,MALL,Dabblers,-118.49,-77.03268,45.7342
kusack,WODU,Dabblers,-128.6,-78.581574,44.430428
kusack,WODU,Dabblers,-133.13,-78.581574,44.430428
kusack,WODU,Dabblers,-104.42,-81.1825,42.852864
kusack,WODU,Dabblers,-92.35,-81.1825,42.852864
kusack,WODU,Dabblers,-88.39,-81.09845,42.867608
kusack,WODU,Dabblers,-83.06,-81.09845,42.867608
kusack,WODU,Dabblers,-99.72,-81.09845,42.867608
kusack,MALL,Dabblers,-100.23,-81.263947,42.907314
kusack,MALL,Dabblers,-102.2,-81.263947,42.907314
kusack,ABDU,Dabblers,-119.05,-76.87,48.79
kusack,ABDU,Dabblers,-109.78,-76.87,48.79
kusack,ABDU,Dabblers,-119.09,-76.87,48.79
kusack,ABDU,Dabblers,-133.76,-76.87,48.79
kusack,ABDU,Dabblers,-116.73,-76.87,48.79
kusack,ABDU,Dabblers,-106.82,-76.87,48.79
kusack,ABDU,Dabblers,-112.38,-76.87,48.79
kusack,ABDU,Dabblers,-124.06,-76.87,48.79
kusack,MALL,Dabblers,-121.67,-76.87,48.79
kusack,MALL,Dabblers,-125.31,-76.87,48.79
kusack,MALL,Dabblers,-118.62,-76.87,48.79
kusack,MALL,Dabblers,-134.68,-76.87,48.79
kusack,MALL,Dabblers,-134.53,-76.87,48.79
kusack,MALL,Dabblers,-136.26,-76.87,48.79
kusack,MALL,Dabblers,-137.72,-76.87,48.79
kusack,MALL,Dabblers,-132.56,-76.87,48.79
kusack,ABDU,Dabblers,-118.21,-72.07,48.75
kusack,ABDU,Dabblers,-122.18,-72.07,48.75
kusack,ABDU,Dabblers,-116.86,-72.07,48.75
kusack,ABDU,Dabblers,-127.5,-72.07,48.75
kusack,MALL,Dabblers,-111.86,-71.909919,41.919467
kusack,MALL,Dabblers,-97.67,-71.59217,42.54259
kusack,MALL,Dabblers,-103.44,-70.927222,42.120278
kusack,MALL,Dabblers,-92.65,-71.690833,42.091944
kusack,MALL,Dabblers,-100.2,-70.909167,41.747222
kusack,MALL,Dabblers,-104.02,-70.909167,41.747222
kusack,WODU,Dabblers,-89.16,-71.32709,42.47175
kusack,WODU,Dabblers,-93.87,-71.32709,42.47175
