cornell_sample_id,fws_id,batch_id,run_id,source,sample_type,collection_date,species,age,sex,feather,state,county,town,latitude,longitude,weight_mg,h2_amp,percent_h,d2h_vs_vsmow_original,d2h_vs_vsmow_2017,comments,year
MN001,,,1,reference,feather,7/16/2020,MALL,L,M,,MN,Clearwater,CLPINLAK,47.69222222,-95.52527778,0.32,7496,5.93,-124.31,,"Pine Lake, 3.0 S Gonvick, Clearwater Co, MN",2020
MN002,,,1,reference,feather,7/16/2020,MALL,L,M,,MN,Clearwater,CLPINLAK,47.69222222,-95.52527778,0.371,8590,5.89,-129.25,,"Pine Lake, 3.0 S Gonvick, Clearwater Co, MN",2020
MN003,,,1,reference,feather,7/16/2020,MALL,L,F,,MN,Clearwater,CLPINLAK,47.69222222,-95.52527778,0.311,7236,5.87,-117.6,,"Pine Lake, 3.0 S Gonvick, Clearwater Co, MN",2020
MN004,,,1,reference,feather,7/20/2020,MALL,L,F,,MN,Beltrami,BLLARLAK,47.6575,-94.86833333,0.338,7581,5.71,-127.74,,"Larson Lake, 2.3 SE Puposky, Beltrami Co, MN",2020
MN005,,,1,reference,feather,7/20/2020,MALL,L,F,,MN,Beltrami,BLLARLAK,47.6575,-94.86833333,0.324,7828,6.11,-128.98,,"Larson Lake, 2.3 SE Puposky, Beltrami Co, MN",2020
MN006,,,1,reference,feather,7/20/2020,MALL,L,F,,MN,Beltrami,BLLARLAK,47.6575,-94.86833333,0.316,7503,5.99,-122.76,,"Larson Lake, 2.3 SE Puposky, Beltrami Co, MN",2020
MN007,,,1,reference,feather,7/22/2020,MALL,HY,M,,MN,Beltrami,BLRABLAK,47.63861111,-94.51166667,0.337,7878,5.86,-128.86,,"Rabideau Lake, 6.6 ENE Hines, Beltrami Co, MN",2020
MN008,,,1,reference,feather,7/27/2020,MALL,HY,F,,MN,Polk,PKTURLAK,47.61222222,-95.66666667,0.368,8661,5.98,-138.85,,"Turtle Lake, 4.5 ENE Fosston, Polk Co, MN",2020
MN009,,,1,reference,feather,7/27/2020,MALL,HY,M,,MN,Polk,PKTURLAK,47.61222222,-95.66666667,0.334,7673,5.8,-100.69,,"Turtle Lake, 4.5 ENE Fosston, Polk Co, MN",2020
MN010,,,1,reference,feather,7/28/2020,MALL,L,F,,MN,Itasca,ITDIXLAK,47.59805556,-94.28333333,0.302,5769,5.05,-147.11,,"Dixon Lake, 7 WSW Squaw Lake, Itasca Co, MN",2020
MN011,,,1,reference,feather,7/28/2020,MALL,L,M,,MN,Itasca,ITDIXLAK,47.59805556,-94.28333333,0.315,7100,5.67,-144.27,,"Dixon Lake, 7 WSW Squaw Lake, Itasca Co, MN",2020
MN012,,,1,reference,feather,7/28/2020,MALL,L,M,,MN,Itasca,ITDIXLAK,47.59805556,-94.28333333,0.314,7556,6.13,-153.75,,"Dixon Lake, 7 WSW Squaw Lake, Itasca Co, MN",2020
MN013,,,1,reference,feather,7/29/2020,MALL,L,M,,MN,Itasca,ITRNDLAK,47.61916667,-94.16722222,0.391,9199,5.9,-149.67,,"Round Lake, 0.5 SW Squaw Lake, Itasca Co, MN",2020
MN014,,,1,reference,feather,7/29/2020,MALL,L,M,,MN,Itasca,ITRNDLAK,47.61916667,-94.16722222,0.387,9004,5.85,-149.74,,"Round Lake, 0.5 SW Squaw Lake, Itasca Co, MN",2020
MN015,,,1,reference,feather,7/29/2020,MALL,L,F,,MN,Itasca,ITRNDLAK,47.61916667,-94.16722222,0.425,10013,5.97,-147.99,,"Round Lake, 0.5 SW Squaw Lake, Itasca Co, MN",2020
MN016,,,1,reference,feather,7/30/2020,MALL,L,F,,MN,Itasca,ITNATLAK,47.64472222,-94.11916667,0.313,7347,6.02,-122.48,,"Natures Lake, 3.0 NW Max, Itasca Co, MN",2020
MN017,,,1,reference,feather,7/30/2020,MALL,L,F,,MN,Itasca,ITNATLAK,47.64472222,-94.11916667,0.321,7513,5.91,-113.88,,"Natures Lake, 3.0 NW Max, Itasca Co, MN",2020
MN018,,,1,reference,feather,8/5/2020,MALL,L,M,,MN,Clearwater,CLLITPIL,47.675,-95.525,0.472,10975,5.85,-149.29,,"Little Pine Lake, 4.5 S Gonvick, Clearwater Co, MN",2020
MN019,,,1,reference,feather,8/5/2020,MALL,L,F,,MN,Clearwater,CLLITPIL,47.675,-95.525,0.365,8532,5.89,-143.01,,"Little Pine Lake, 4.5 S Gonvick, Clearwater Co, MN",2020
MN020,,,1,reference,feather,8/5/2020,MALL,HY,F,,MN,Clearwater,CLLITPIL,47.675,-95.525,0.301,6973,5.86,-135.06,,"Little Pine Lake, 4.5 S Gonvick, Clearwater Co, MN",2020
MN021,,,1,reference,feather,8/5/2020,MALL,L,M,,MN,Clearwater,CLPINLAK,47.69222222,-95.52527778,0.382,9044,6.04,-134.27,,"Pine Lake, 3.0 S Gonvick, Clearwater Co, MN",2020
MN022,,,1,reference,feather,8/6/2020,MALL,HY,M,,MN,Clearwater,CLFOULES,47.64166667,-95.24444444,0.481,10976,5.83,-148.88,,"South Four-legged Lake, 1.5 ESE Leonard, Clearwater Co, MN",2020
MN023,,,1,reference,feather,8/6/2020,MALL,HY,M,,MN,Clearwater,CLFOULES,47.64166667,-95.24444444,0.408,8820,5.5,-109.57,,"South Four-legged Lake, 1.5 ESE Leonard, Clearwater Co, MN",2020
MN024,,,1,reference,feather,8/6/2020,MALL,HY,M,,MN,Itasca,ITLITWHO,47.26861111,-93.75472222,0.337,7638,5.74,-97.89,,"Little White Oak Lake, 11.0 WNW Grand Rapids, Itasca Co, MN",2020
MN025,,,1,reference,feather,8/6/2020,MALL,L,M,,MN,Itasca,ITLITWHO,47.26861111,-93.75472222,0.442,10203,5.84,-114.94,,"Little White Oak Lake, 11.0 WNW Grand Rapids, Itasca Co, MN",2020
MN026,,,1,reference,feather,8/10/2020,MALL,HY,M,,MN,Clearwater,CLUPPRIL,47.39444444,-95.29472222,0.438,10450,6.02,-115.97,,"Upper Rice Lake, 3.5 WNW Alida, Clearwater Co, MN",2020
MN027,,,1,reference,feather,8/10/2020,MALL,HY,F,,MN,Clearwater,CLUPPRIL,47.39444444,-95.29472222,0.355,8375,5.98,-106.57,,"Upper Rice Lake, 3.5 WNW Alida, Clearwater Co, MN",2020
MN028,,,1,reference,feather,8/10/2020,MALL,HY,M,,MN,Polk,PKLENGBY,47.525,-96.65833333,0.309,6777,5.55,-117.59,,"Lengby WMA, 1 W Lengby, Polk Co, MN",2020
MN029,,,1,reference,feather,8/10/2020,MALL,HY,F,,MN,Polk,PKLENGBY,47.525,-96.65833333,0.423,9202,5.55,-124.86,,"Lengby WMA, 1 W Lengby, Polk Co, MN",2020
MN030,,,1,reference,feather,8/11/2020,MALL,L,F,,MN,Itasca,ITTHIRIF,47.53138889,-94.2875,0.364,7273,5.12,-131.03,,"Third River Flowage, 8.7 SSE Rosy, Itasca Co, MN",2020
MN031,,,1,reference,feather,8/11/2020,MALL,HY,F,,MN,Itasca,ITTHIRIF,47.53138889,-94.2875,0.334,7676,5.83,-111.34,,"Third River Flowage, 8.7 SSE Rosy, Itasca Co, MN",2020
MN032,,,1,reference,feather,8/12/2020,MALL,L,M,,MN,Polk,PKBADLAK,47.68,-96.01111111,0.374,0,,,,"Badger Lake, 1 N Erskine, Polk Co, MN",2020
MN033,,,1,reference,feather,8/17/2020,MALL,HY,F,,MN,Marshall,MATHILAW,48.49166667,-95.89305556,0.344,16923,,,,"Thief Lake WMA, 6.5 NW Gatzke, Marshall Co, MN",2020
MN034,,,1,reference,feather,8/17/2020,MALL,L,M,,MN,Marshall,MATHILAW,48.49166667,-95.89305556,0.454,10606,5.95,-112.76,,"Thief Lake WMA, 6.5 NW Gatzke, Marshall Co, MN",2020
