"isoscape","species","CVsubset","odds","CVrep","accuracy","precision","n.accurate","n.innaccurate"
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.365735062720065,96,47
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.38214753619991,96,47
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.615384615384615,0.307166870652767,88,55
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.713286713286713,0.415367806229567,102,41
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.643356643356643,0.365076945658187,92,51
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.355588950468117,96,47
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.699300699300699,0.382994514745234,100,43
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.706293706293706,0.368246232143971,101,42
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.692307692307692,0.38940347303468,99,44
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.72027972027972,0.386715955408162,103,40
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.762237762237762,0.390408414769282,109,34
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.706293706293706,0.343442735936325,101,42
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.643356643356643,0.358937256870274,92,51
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.72027972027972,0.443234595849407,103,40
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.692307692307692,0.354105138004431,99,44
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.706293706293706,0.376624032152822,101,42
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.734265734265734,0.422687034001044,105,38
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.296869995253708,96,47
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.485577304211231,96,47
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.300092112237578,96,47
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.622377622377622,0.332989270940938,89,54
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.776223776223776,0.451099275871986,111,32
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.608391608391608,0.377729155606225,87,56
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.72027972027972,0.427995653770772,103,40
"d2h_GS","mall/wodu/rndu",0.5,0.666666666666667,25,0.678321678321678,0.431874348184862,97,46
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.629370629370629,0.401479162642132,90,53
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.636363636363636,0.361031500883415,91,52
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.678321678321678,0.453532277443124,97,46
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.762237762237762,0.488129773202082,109,34
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.685314685314685,0.381982486019402,98,45
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.664335664335664,0.491994019281278,95,48
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.692307692307692,0.447065804974511,99,44
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.671328671328671,0.402093480539637,96,47
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.727272727272727,0.458673879315383,104,39
"d2h_MA","mall/wodu/rndu",0.5,0.666666666666667,25,0.727272727272727,0.459335742146051,104,39
