id,species,new_sample,latitude,longitude,gs_correct,ma_correct,correct
LM20001,mall,0,45.93319,-89.520966,1,1,Correct by both eq.
LM20002,mall,0,45.93319,-89.520966,1,1,Correct by both eq.
LM20003,mall,0,45.93319,-89.520966,0,0,Neither eq. correct
LM20007,mall,0,45.93319,-89.520966,0,1,MA only correct
LM20009,mall,0,45.93319,-89.520966,0,1,MA only correct
LM20021,mall,0,44.075795,-90.359338,1,1,Correct by both eq.
LM20022,mall,0,44.075795,-90.359338,1,1,Correct by both eq.
LM20004,mall,0,45.93319,-89.520966,1,1,Correct by both eq.
LM20005,mall,0,45.93319,-89.520966,1,1,Correct by both eq.
LM20006,mall,0,45.93319,-89.520966,1,0,GS only correct
LM20008,mall,0,45.93319,-89.520966,0,0,Neither eq. correct
LM20010,mall,0,45.93319,-89.520966,0,0,Neither eq. correct
LM21001,mall,0,45.926351,-89.647875,1,1,Correct by both eq.
LM21002,mall,0,45.926351,-89.647875,1,1,Correct by both eq.
LM21003,mall,0,45.926351,-89.647875,0,0,Neither eq. correct
LM21004,mall,0,45.926351,-89.647875,0,0,Neither eq. correct
LM21005,mall,0,45.926351,-89.647875,1,1,Correct by both eq.
LM21007,mall,0,45.926351,-89.647875,1,1,Correct by both eq.
LM21008,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21009,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21010,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21011,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21012,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21013,mall,0,45.866895,-89.623384,0,1,MA only correct
LM21014,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21015,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21016,mall,0,45.866895,-89.623384,1,1,Correct by both eq.
LM21017,mall,0,45.866895,-89.623384,0,1,MA only correct
LM21018,mall,0,45.871239,-89.892066,0,0,Neither eq. correct
LM21019,mall,0,45.871239,-89.892066,1,1,Correct by both eq.
LM21020,mall,0,45.871239,-89.892066,1,1,Correct by both eq.
LM21021,mall,0,45.871239,-89.892066,0,0,Neither eq. correct
LM21022,mall,0,45.871239,-89.892066,0,0,Neither eq. correct
LM21023,mall,0,45.871239,-89.892066,1,1,Correct by both eq.
LM21024,mall,0,45.871239,-89.892066,1,0,GS only correct
LM21025,mall,0,45.871239,-89.892066,1,0,GS only correct
LM21026,mall,0,45.871239,-89.892066,0,0,Neither eq. correct
LM21027,mall,0,45.871239,-89.892066,0,0,Neither eq. correct
LM21028,mall,0,44.07553,-90.360749,0,0,Neither eq. correct
LM21029,mall,0,44.07553,-90.360749,1,0,GS only correct
LM21030,mall,0,44.07553,-90.360749,0,0,Neither eq. correct
LM21031,mall,0,44.07553,-90.360749,0,0,Neither eq. correct
LM21032,mall,0,44.07553,-90.360749,0,0,Neither eq. correct
LM21033,mall,0,44.804996,-88.523421,1,0,GS only correct
LM21035,mall,0,44.804996,-88.523421,1,1,Correct by both eq.
LM21036,mall,0,44.804996,-88.523421,1,1,Correct by both eq.
LM21037,mall,0,44.804996,-88.523421,1,1,Correct by both eq.
LM21039,mall,0,44.804996,-88.523421,1,1,Correct by both eq.
LM21042,mall,0,43.061471,-89.38084,1,1,Correct by both eq.
LM21043,mall,0,43.061471,-89.38084,1,1,Correct by both eq.
LM21044,mall,0,43.061471,-89.38084,0,0,Neither eq. correct
LM21045,mall,0,43.061471,-89.38084,0,1,MA only correct
LM21046,mall,0,43.061471,-89.38084,1,1,Correct by both eq.
LM21047,mall,0,43.061471,-89.38084,0,0,Neither eq. correct
LM21048,mall,0,43.061471,-89.38084,0,0,Neither eq. correct
LM21049,mall,0,43.061471,-89.38084,0,0,Neither eq. correct
WI-23-1,mall,1,42.576594,-88.537517,1,1,Correct by both eq.
WI-23-2,mall,1,42.569086,-88.439412,1,1,Correct by both eq.
WI-23-3,mall,1,42.569086,-88.439412,1,1,Correct by both eq.
WI-23-4,mall,1,42.569086,-88.439412,1,1,Correct by both eq.
WI-23-7,mall,1,42.813929,-88.209663,1,0,GS only correct
WI-23-8,mall,1,42.813929,-88.209663,1,0,GS only correct
WI-23-10,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-11,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-12,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-13,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-14,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-15,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-16,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-17,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-18,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-19,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-20,mall,1,45.911234,-89.629002,1,1,Correct by both eq.
WI-23-21,mall,1,45.911234,-89.629002,0,1,MA only correct
WI-23-22,mall,1,45.911234,-89.629002,1,1,Correct by both eq.
WI-23-23,mall,1,45.911234,-89.629002,1,0,GS only correct
WI-23-24,mall,1,45.93319,-89.520966,0,1,MA only correct
WI-23-25,mall,1,45.93319,-89.520966,0,1,MA only correct
WI-23-26,mall,1,45.93319,-89.520966,0,1,MA only correct
WI-23-27,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-28,mall,1,45.93319,-89.520966,0,1,MA only correct
WI-23-29,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-30,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-31,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-32,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-33,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-34,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-35,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-36,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-37,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-38,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-39,mall,1,45.871239,-89.892066,1,1,Correct by both eq.
WI-23-40,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-41,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-42,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-43,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-44,mall,1,45.926351,-89.647875,1,0,GS only correct
WI-23-45,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-46,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-47,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-48,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-49,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-50,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-51,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-52,mall,1,45.926351,-89.647875,1,1,Correct by both eq.
WI-23-53,mall,1,43.867819,-91.307089,0,0,Neither eq. correct
WI-23-54,mall,1,43.867819,-91.307089,0,0,Neither eq. correct
WI-23-55,mall,1,43.867819,-91.307089,0,0,Neither eq. correct
WI-23-56,mall,1,43.867819,-91.307089,0,0,Neither eq. correct
WI-23-57,mall,1,43.867819,-91.307089,0,0,Neither eq. correct
WI-23-58,mall,1,42.820537,-91.078066,1,1,Correct by both eq.
WI-23-59,mall,1,43.36097,-91.18087,0,0,Neither eq. correct
WI-23-60,mall,1,43.36097,-91.18087,1,0,GS only correct
WI-23-61,mall,1,43.36097,-91.18087,0,0,Neither eq. correct
WI-23-62,mall,1,43.36097,-91.18087,1,0,GS only correct
WI-23-63,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-64,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-65,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-67,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-69,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-70,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-71,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-72,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-73,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-75,mall,1,45.93319,-89.520966,1,0,GS only correct
WI-23-76,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
WI-23-77,mall,1,45.93319,-89.520966,1,1,Correct by both eq.
MN001,mall,0,47.69222222000001,-95.52527778,1,1,Correct by both eq.
MN002,mall,0,47.69222222000001,-95.52527778,1,1,Correct by both eq.
MN003,mall,0,47.69222222000001,-95.52527778,1,1,Correct by both eq.
MN004,mall,0,47.6575,-94.86833332999998,1,1,Correct by both eq.
MN005,mall,0,47.6575,-94.86833332999998,1,1,Correct by both eq.
MN006,mall,0,47.6575,-94.86833332999998,1,1,Correct by both eq.
MN010,mall,0,47.598055560000006,-94.28333332999999,0,0,Neither eq. correct
MN011,mall,0,47.598055560000006,-94.28333332999999,0,0,Neither eq. correct
